,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
180,"San Bernardino, CA",33915.0,36676.0,41744.0,38282.0,35978.0,38640.0,35118.0,37244.0,37440.0,37659.0,35932.0
181,"San Buenaventura (Ventura), CA",57574.0,61925.0,64769.0,68984.0,62410.0,60722.0,62971.0,62077.0,64363.0,71852.0,70627.0
182,"San Diego, CA",55637.0,58815.0,61863.0,62668.0,59901.0,60037.0,60797.0,62395.0,63456.0,67799.0,67871.0
183,"San Francisco, CA",57496.0,65497.0,68023.0,73798.0,70770.0,71745.0,69894.0,73012.0,77485.0,85070.0,92094.0
184,"San Jose, CA",70921.0,73804.0,76963.0,80616.0,76495.0,76794.0,76593.0,80090.0,80977.0,87210.0,91451.0
185,"Santa Ana, CA",47438.0,54050.0,53661.0,54239.0,53211.0,51467.0,51264.0,53593.0,47914.0,50797.0,54392.0
186,"Santa Clara, CA",71284.0,80048.0,75687.0,92619.0,82714.0,81366.0,87015.0,92390.0,95415.0,91080.0,108886.0
187,"Santa Clarita, CA",74759.0,75917.0,79004.0,87396.0,78374.0,76384.0,78738.0,78894.0,81802.0,81577.0,85916.0
188,"Santa Rosa, CA",51454.0,56556.0,56966.0,57256.0,59857.0,54666.0,60730.0,57653.0,57539.0,63280.0,62329.0
189,"Savannah, GA",30887.0,29883.0,35241.0,32669.0,33332.0,32562.0,36760.0,33167.0,36198.0,38168.0,35827.0
190,"Scottsdale, AZ",60057.0,69017.0,70533.0,69172.0,71658.0,68824.0,65020.0,72102.0,69690.0,73387.0,75346.0
191,"Seattle, WA",49297.0,58311.0,57849.0,61786.0,60843.0,60212.0,61037.0,64473.0,70172.0,70975.0,80349.0
192,"Shreveport, LA",32027.0,31776.0,32875.0,35414.0,37591.0,32848.0,36593.0,40065.0,35772.0,36968.0,38497.0
193,"Simi Valley, CA",78692.0,85369.0,88406.0,83731.0,78821.0,84507.0,88654.0,82223.0,84673.0,82168.0,93438.0
194,"Sioux Falls, SD",44341.0,48220.0,46938.0,53256.0,47040.0,47466.0,50470.0,48261.0,51158.0,54360.0,53802.0
195,"Spokane, WA",34752.0,37136.0,39070.0,41588.0,38939.0,41146.0,39999.0,40925.0,39385.0,43694.0,44350.0
196,"Spring Valley, NV",50742.0,53565.0,52750.0,58732.0,56415.0,50896.0,47084.0,48218.0,49111.0,49605.0,49305.0
197,"Springfield, IL",43054.0,45926.0,42254.0,48401.0,49251.0,44598.0,44384.0,48683.0,48864.0,48896.0,52102.0
