,Dropoff Location,Year,TruckingCost
537,"Tampa, FL",2010,2295.2030280000004
538,"Tampa, FL",2011,2468.761764
539,"Tampa, FL",2012,2497.68822
540,"Tampa, FL",2013,2473.211988
541,"Tampa, FL",2014,2566.6666920000002
542,"Tampa, FL",2015,2468.761764
543,"Tampa, FL",2016,2423.146968
544,"Tampa, FL",2017,2556.6536880000003
545,"Tampa, FL",2018,2726.874756
546,"Tampa, FL",2019,2618.9568240000003
547,"Tampa, FL",2020,2416.471632
548,"Tampa, FL",2021,2653.4460599999998
549,"Tampa, FL",2022,2676.809736
550,"Tampa, FL",2023,2544.415572
551,"Tucson, AZ",2005,2470.3313125
552,"Tucson, AZ",2006,2555.720578125
553,"Tucson, AZ",2007,2500.118265625
554,"Tucson, AZ",2008,2239.978875
555,"Tucson, AZ",2009,1835.8692109375
556,"Tucson, AZ",2010,2048.3494765625
557,"Tucson, AZ",2011,2203.2416328125
558,"Tucson, AZ",2012,2229.0569921875003
559,"Tucson, AZ",2013,2207.2132265625
560,"Tucson, AZ",2014,2290.6166953125
561,"Tucson, AZ",2015,2203.2416328125
562,"Tucson, AZ",2016,2162.532796875
563,"Tucson, AZ",2017,2281.680609375
564,"Tucson, AZ",2018,2433.5940703125
565,"Tucson, AZ",2019,2337.2829218750003
566,"Tucson, AZ",2020,2156.57540625
567,"Tucson, AZ",2021,2368.0627734375
568,"Tucson, AZ",2022,2388.913640625
569,"Tucson, AZ",2023,2270.7587265624998
570,"Tulsa, OK",2005,1968.2844444444443
571,"Tulsa, OK",2006,2036.3199999999997
572,"Tulsa, OK",2007,1992.0177777777776
573,"Tulsa, OK",2008,1784.7466666666664
574,"Tulsa, OK",2009,1462.7644444444443
575,"Tulsa, OK",2010,1632.0622222222223
576,"Tulsa, OK",2011,1755.4755555555555
577,"Tulsa, OK",2012,1776.0444444444445
578,"Tulsa, OK",2013,1758.6399999999999
579,"Tulsa, OK",2014,1825.0933333333332
580,"Tulsa, OK",2015,1755.4755555555555
581,"Tulsa, OK",2016,1723.04
582,"Tulsa, OK",2017,1817.9733333333334
583,"Tulsa, OK",2018,1939.0133333333333
584,"Tulsa, OK",2019,1862.2755555555555
585,"Tulsa, OK",2020,1718.2933333333333
586,"Tulsa, OK",2021,1886.7999999999997
587,"Tulsa, OK",2022,1903.4133333333334
588,"Tulsa, OK",2023,1809.271111111111
589,"Washington, DC",2005,2342.975789473684
590,"Washington, DC",2006,2423.962894736842
591,"Washington, DC",2007,2371.2271052631577
592,"Washington, DC",2008,2124.498947368421
593,"Washington, DC",2009,1741.2227631578946
594,"Washington, DC",2010,1942.7488157894738
595,"Washington, DC",2011,2089.6556578947366
596,"Washington, DC",2012,2114.1401315789476
597,"Washington, DC",2013,2093.4224999999997
598,"Washington, DC",2014,2172.5261842105265
599,"Washington, DC",2015,2089.6556578947366
600,"Washington, DC",2016,2051.0455263157896
601,"Washington, DC",2017,2164.0507894736843
602,"Washington, DC",2018,2308.1325
603,"Washington, DC",2019,2216.7865789473685
604,"Washington, DC",2020,2045.395263157895
605,"Washington, DC",2021,2245.9796052631577
606,"Washington, DC",2022,2265.7555263157897
607,"Washington, DC",2023,2153.6919736842106
608,"Wichita, KS",2005,1981.808625
